ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
49625,COPEMISH,MI,11.73666667,11.49333333,12.37666667,16.56666667,19.61333333,42.33333333,8.176666667000001,43.45,12.98333333,3.656666667,31.73666667,2.373333333,845.3333332999998,110400.0,46043.33333,18.13333333,30.13333333,0.0,0.17,0.97,95.62,White,1379,10,9861637
49627,EASTPORT,MI,8.09,8.2,15.08,16.37,27.8,52.0,20.56,29.06,7.77,12.56,30.58,2.56,840.0,172700.0,56830.0,19.9,24.2,0.195,1.01,1.835,90.27,White,206,0,9861637
49629,ELK RAPIDS,MI,7.92,6.51,11.23,17.55,36.95,59.0,20.41,22.6,5.57,20.23,32.23,2.65,842.0,254800.0,64631.0,19.0,28.7,0.533333333,0.7433333329999999,0.5166666670000001,84.94,White,2223,3.4,9861637
49630,EMPIRE,MI,6.453333333,8.133333333,11.80666667,22.2,30.50666667,54.0,23.96333333,26.60333333,4.96,15.87333333,28.71333333,2.353333333,732.6666667000001,257866.6667,63442.66667000001,18.26666667,31.33333333,0.481428571,0.407142857,2.355714286,93.78571429,White,1429,1.5,9861637
49631,EVART,MI,10.62285714,10.51714286,13.08428571,16.38428571,21.81857143,45.42857143,9.727142857,43.74142857,12.38571429,4.201428571,30.74,2.578571429,679.4285714,99400.0,45237.28571,16.97142857,27.85714286,0.3475,0.63625,1.66375,94.15625,White,6357,6.8,9861637
49632,FALMOUTH,MI,12.66,7.91,13.74,15.37,16.45,40.0,7.76,44.37,14.92,2.9,31.05,2.55,762.0,101300.0,45756.0,16.2,24.0,0.39,0.42,2.27,91.07,White,1126,9.3,9861637
49633,FIFE LAKE,MI,10.685,11.26666667,14.455,16.89333333,18.34,44.33333333,10.05166667,37.48833333,12.06333333,5.363333333,34.97833333,2.501666667,818.1666667000001,125933.3333,51164.5,17.95,29.75,0.22,1.35,2.29,89.94,White,3703,9.3,9861637
49635,FRANKFORT,MI,10.90666667,7.356666667000001,11.55666667,17.18666667,35.54333333,55.33333333,20.75333333,29.39,6.96,16.51,26.80333333,2.48,596.0,244600.0,53206.5,16.85,40.3,1.745,0.96,1.2775,75.24,White,3350,6,9861637
49636,GLEN ARBOR,MI,6.41,6.95,11.41,22.925,32.25,55.0,27.375,21.13,4.2,19.775,27.395,2.49,688.0,295950.0,65605.0,18.2,22.0,0.71,0.325,0.45,88.23,White,560,3.9,9861637
49637,GRAWN,MI,12.972,12.312,14.322,14.874,15.368,40.6,17.538,29.782,6.263999999999999,9.63,37.932,2.476,956.0,174500.0,61057.2,18.62,30.18,0.642857143,0.195714286,2.055714286,95.37571429,White,3405,4.1,9861637
49638,HARRIETTA,MI,10.18,10.38666667,14.24333333,17.29,22.91333333,47.33333333,6.946666667000001,42.4,14.58666667,3.58,32.62,2.426666667,743.6666667000001,103300.0,44825.0,18.23333333,29.3,0.553333333,1.3,1.41,79.61666667,White,824,7,9861637
49639,HERSEY,MI,11.175,10.29333333,13.135,14.64833333,20.785,43.16666667,10.16166667,41.95166667,10.46666667,5.928333332999999,32.61333333,2.45,692.1666667000001,101983.3333,44763.0,16.65,27.4,0.23,0.505,1.655,95.89,White,2557,5.8,9861637
